"id";"NB";"COUT";"ANNEE"
80165;1;746,11;2016
80291;1;998,01;2017
80317;1;1562,23;2018
80373;1;617,48;2017
80514;1;68,47;2018
80695;1;275,32;2018
80906;1;20,44;2017
80923;1;1268,88;2017
80950;1;705,83;2018
80994;1;90,89;2017
81217;1;658,28;2017
81352;1;366,98;2018
81487;1;2454,84;2018
81791;1;517,77;2016
81960;1;683,97;2016
82125;1;657,63;2016
82475;1;892,05;2016
82668;1;536,45;2017
82731;1;423,33;2016
82799;1;2922,19;2017
83076;1;277,42;2016
83725;1;1728,68;2018
84350;1;1567,99;2016
84473;1;315,9;2018
84611;1;1405;2017
84654;1;24,21;2016
84750;1;1639,31;2016
84879;1;3081,29;2017
85032;1;315,74;2017
85107;1;2283,63;2018
85111;1;597,97;2016
85144;1;108,26;2018
85296;1;805,14;2016
85375;1;382,34;2016
85421;1;24,52;2017
86540;1;8272,13;2018
86861;1;204,36;2017
87038;1;699,02;2016
87271;1;24,21;2016
87572;1;1734,14;2016
87579;1;457,09;2016
87678;1;336,82;2017
88143;1;604,18;2016
88399;1;489,27;2016
88677;1;2381,92;2018
88860;1;840,18;2018
89033;1;5269;2016
89309;1;359,99;2018
89642;1;512,27;2016
89821;1;49,05;2017
90115;1;694,43;2017
90488;1;24,35;2018
91111;1;53,95;2017
91866;1;503,74;2018
92078;1;1272,53;2018
92424;1;519,49;2017
92573;1;3902,71;2018
93128;1;305,55;2018
93264;1;2207,96;2017
93350;1;349,96;2016
93669;1;1062,73;2018
94108;1;405,78;2018
94175;1;1396,09;2017
94298;1;1408,35;2018
94315;1;151,15;2017
94428;1;862,27;2018
94442;1;373,26;2016
94443;1;2315,21;2016
94445;1;70,62;2016
94567;1;782,33;2018
94569;1;24,21;2016
94748;1;4267,26;2016
94762;1;1274,82;2017
95229;1;396,56;2018
95833;1;35,51;2018
95964;1;281,46;2016
95997;1;8024,3;2018
96236;1;743,89;2016
96271;1;162,31;2018
96406;1;229;2016
96462;1;2072,77;2016
96513;1;24,35;2018
96516;1;4074,58;2016
96825;1;52,42;2016
96863;1;4436,53;2017
97060;1;906,73;2018
97123;1;1587,9;2017
97415;1;193,12;2017
97491;1;655,08;2018
97524;1;1420,97;2016
97695;2;480,25;2016
98361;1;5444,01;2016
98842;1;461,57;2018
98855;1;5,07;2018
99083;1;11441,9;2016
99085;1;156,13;2017
99311;1;55,18;2017
99368;1;684,98;2016
99414;1;1058,23;2016
99511;1;316,76;2017
99701;1;479,18;2016
99976;1;618,52;2018
100135;1;1739,11;2018
100184;1;1359,49;2018
100243;1;1436,21;2017
100353;1;980,25;2017
100537;1;1642,13;2018
100571;1;115,47;2017
100576;1;250,63;2017
100784;1;1557,94;2016
101002;1;2788,91;2017
101581;1;2201,46;2017
101924;1;1041,75;2016
102025;1;589,79;2018
102065;1;1470,67;2018
102080;1;1064,04;2017
102144;1;674,4;2017
102460;1;651,68;2018
102691;2;3567,15;2018
102863;1;278,82;2017
102980;1;754,59;2016
103155;1;5567,47;2017
103156;1;361,67;2018
103254;1;486,24;2018
103316;1;120,11;2018
103404;1;73,53;2018
103488;1;567,11;2017
103970;1;24,21;2016
104101;1;5070,87;2017
104133;2;1551,14;2016
104170;1;165,35;2018
104387;1;1692,7;2016
104532;1;55,79;2018
104751;1;360,46;2017
104916;1;2008,2;2016
105040;1;1036,97;2016
